     40/99     1.71G   0.03236   0.04325  0.003121   0.07873        67       640    0.8099    0.8402    0.8571    0.4641   0.03163   0.03446  0.004652
     41/99     1.71G   0.03197   0.04456  0.003375    0.0799        40       640    0.8202    0.8135    0.8567    0.4631   0.03155    0.0345  0.005167
     42/99     1.71G   0.03255   0.04373  0.003221    0.0795        44       640    0.8406    0.8193     0.859    0.4676   0.03098   0.03417  0.005069
     43/99     1.71G   0.03209   0.04397  0.003033   0.07909        62       640    0.8387    0.8176    0.8547    0.4688   0.03103     0.034  0.005384
     44/99     1.71G   0.03242   0.04285  0.003287   0.07856        49       640    0.8342    0.8114    0.8584    0.4625   0.03178   0.03377  0.004753
     45/99     1.71G   0.03167   0.04232  0.003025   0.07702        58       640    0.8028    0.8156    0.8339    0.4601   0.03118   0.03424  0.006673
     46/99     1.71G   0.03204   0.04208  0.003048   0.07716        33       640    0.8461    0.8118    0.8605    0.4698   0.03153   0.03368  0.004907
     47/99     1.71G    0.0314   0.04255  0.002915   0.07686        42       640     0.837    0.8127    0.8477    0.4696   0.03144   0.03388  0.005163
     48/99     1.71G   0.03154   0.04225  0.002983   0.07677        57       640    0.8378    0.8116    0.8585    0.4671   0.03143   0.03398  0.004191
     49/99     1.71G   0.03097   0.04219  0.002819   0.07598        58       640    0.8437    0.8208    0.8577    0.4679   0.03123   0.03373  0.004594
     50/99     1.71G   0.03101   0.04218  0.002925   0.07611        34       640    0.8289    0.8103      0.85    0.4692   0.03107   0.03455   0.00491
     51/99     1.71G   0.03046   0.04193  0.002877   0.07527        45       640    0.8269    0.8295    0.8544    0.4712   0.03121   0.03388   0.00523
     52/99     1.71G   0.03062   0.04239  0.002905   0.07591        52       640    0.8336    0.8048    0.8524    0.4673   0.03135   0.03417  0.005205
     53/99     1.71G   0.03069   0.04201  0.002811   0.07551        46       640    0.8468    0.7811    0.8524    0.4704   0.03105   0.03427  0.004806
     54/99     1.71G   0.03047    0.0417  0.002688   0.07485        51       640    0.8352    0.8169    0.8534    0.4692   0.03119   0.03463  0.004859
     55/99     1.71G   0.03052   0.04105  0.002767   0.07433        31       640    0.8397    0.8193    0.8586    0.4747   0.03125   0.03459   0.00462
     56/99     1.71G   0.03009   0.04167   0.00284   0.07459        49       640    0.8461    0.8198    0.8612    0.4759   0.03108   0.03432  0.004625
     57/99     1.71G   0.02991   0.04142  0.002746   0.07408        66       640    0.8306    0.8303    0.8658    0.4727   0.03133   0.03445  0.004575
     58/99     1.71G   0.02954   0.04118  0.002781   0.07349        36       640    0.8296    0.8216    0.8564    0.4748   0.03097   0.03454  0.005071
     59/99     1.71G   0.02972    0.0408    0.0026   0.07312        31       640    0.8545    0.8193    0.8617    0.4755   0.03105   0.03432  0.004792
     60/99     1.71G   0.02957   0.04096  0.002516   0.07305        58       640    0.8499     0.813    0.8555    0.4731   0.03118   0.03456    0.0049
     61/99     1.71G   0.02977   0.04041  0.002641   0.07282        69       640    0.8556     0.808    0.8607    0.4739   0.03101   0.03491  0.005083
     62/99     1.71G   0.02952   0.04071  0.002699   0.07292        69       640    0.8553    0.8203    0.8617    0.4772   0.03093   0.03467  0.004898
     63/99     1.71G   0.02932    0.0399  0.002396   0.07163        43       640    0.8184    0.8396    0.8574    0.4765   0.03094   0.03419  0.005133
